2026-07-24 12:54:00.014 | INFO     | rca_kpis.science:science_instrument:136 - RS03INT1-MJ03C-07-D1000A301: start
2026-07-24 12:54:46.408 | INFO     | rca_kpis.science:science_instrument:149 - RS03INT1-MJ03C-07-D1000A301: 17 wks, sci~100% [46s, peak 17.8 GiB]
2026-07-24 12:54:46.409 | INFO     | rca_kpis.science:science_instrument:136 - RS03INT1-MJ03C-10-TRHPHA301: start
2026-07-24 12:55:39.600 | INFO     | rca_kpis.science:science_instrument:149 - RS03INT1-MJ03C-10-TRHPHA301: 17 wks, sci~99% [53s, peak 17.8 GiB]
2026-07-24 12:55:39.601 | INFO     | rca_kpis.science:science_instrument:136 - RS03INT1-MJ03C-09-TRHPHA302: start
2026-07-24 12:55:58.475 | WARNING  | rca_kpis.science:science_instrument:146 - RS03INT1-MJ03C-09-TRHPHA302: no QARTOD vars [19s, peak 17.8 GiB]
2026-07-24 12:55:58.476 | INFO     | rca_kpis.science:science_instrument:136 - RS03AXBS-MJ03A-06-PRESTA301: start
2026-07-24 12:56:33.993 | INFO     | rca_kpis.science:science_instrument:149 - RS03AXBS-MJ03A-06-PRESTA301: 17 wks, sci~100% [36s, peak 17.8 GiB]
2026-07-24 12:56:33.994 | INFO     | rca_kpis.science:science_instrument:136 - RS01SLBS-MJ01A-06-PRESTA101: start
2026-07-24 12:57:51.895 | INFO     | rca_kpis.science:science_instrument:149 - RS01SLBS-MJ01A-06-PRESTA101: 17 wks, sci~100% [78s, peak 17.8 GiB]
2026-07-24 12:57:51.922 | INFO     | rca_kpis.science:science_instrument:136 - RS01SUM1-LJ01B-09-PRESTB102: start
2026-07-24 12:58:36.739 | INFO     | rca_kpis.science:science_instrument:149 - RS01SUM1-LJ01B-09-PRESTB102: 17 wks, sci~100% [45s, peak 17.8 GiB]
2026-07-24 12:58:36.763 | INFO     | rca_kpis.science:science_instrument:136 - RS03AXBS-LJ03A-05-HPIESA301: start
2026-07-24 12:58:42.554 | INFO     | rca_kpis.science:science_instrument:151 - RS03AXBS-LJ03A-05-HPIESA301: 0 wks (no data in window) [6s, peak 17.8 GiB]
2026-07-24 12:58:42.555 | INFO     | rca_kpis.science:science_instrument:136 - RS01SLBS-LJ01A-05-HPIESA101: start
2026-07-24 12:58:47.878 | INFO     | rca_kpis.science:science_instrument:151 - RS01SLBS-LJ01A-05-HPIESA101: 0 wks (no data in window) [5s, peak 17.8 GiB]
2026-07-24 12:58:47.879 | INFO     | rca_kpis.science:science_instrument:136 - RS03ASHS-MJ03B-07-TMPSFA301: start
2026-07-24 12:59:15.036 | INFO     | rca_kpis.science:science_instrument:149 - RS03ASHS-MJ03B-07-TMPSFA301: 17 wks, sci~100% [27s, peak 17.8 GiB]
2026-07-24 12:59:15.038 | INFO     | rca_kpis.science:science_instrument:136 - RS01SLBS-MJ01A-12-VEL3DB101: start
2026-07-24 13:00:30.565 | INFO     | rca_kpis.science:science_instrument:149 - RS01SLBS-MJ01A-12-VEL3DB101: 17 wks, sci~100% [76s, peak 17.8 GiB]
2026-07-24 13:00:30.595 | INFO     | rca_kpis.science:science_instrument:136 - RS01SUM1-LJ01B-12-VEL3DB104: start
2026-07-24 13:01:21.656 | INFO     | rca_kpis.science:science_instrument:149 - RS01SUM1-LJ01B-12-VEL3DB104: 17 wks, sci~100% [51s, peak 17.8 GiB]
2026-07-24 13:01:21.685 | INFO     | rca_kpis.science:science_instrument:136 - RS03AXBS-MJ03A-12-VEL3DB301: start
2026-07-24 13:02:18.098 | INFO     | rca_kpis.science:science_instrument:149 - RS03AXBS-MJ03A-12-VEL3DB301: 17 wks, sci~100% [56s, peak 17.8 GiB]
2026-07-24 13:02:18.135 | INFO     | rca_kpis.science:science_instrument:136 - RS03INT2-MJ03D-12-VEL3DB304: start
2026-07-24 13:03:12.452 | INFO     | rca_kpis.science:science_instrument:149 - RS03INT2-MJ03D-12-VEL3DB304: 17 wks, sci~100% [54s, peak 17.8 GiB]
2026-07-24 13:03:12.477 | INFO     | rca_kpis.science:science_instrument:136 - RS03ASHS-MJ03B-09-BOTPTA304: start
2026-07-24 13:03:14.589 | WARNING  | rca_kpis.science:science_instrument:146 - RS03ASHS-MJ03B-09-BOTPTA304: no QARTOD vars [2s, peak 17.8 GiB]
2026-07-24 13:03:14.590 | INFO     | rca_kpis.science:science_instrument:136 - RS03CCAL-MJ03F-05-BOTPTA301: start
2026-07-24 13:03:17.824 | WARNING  | rca_kpis.science:science_instrument:146 - RS03CCAL-MJ03F-05-BOTPTA301: no QARTOD vars [3s, peak 17.8 GiB]
2026-07-24 13:03:17.825 | INFO     | rca_kpis.science:science_instrument:136 - RS03ECAL-MJ03E-06-BOTPTA302: start
2026-07-24 13:03:20.339 | WARNING  | rca_kpis.science:science_instrument:146 - RS03ECAL-MJ03E-06-BOTPTA302: no QARTOD vars [3s, peak 17.8 GiB]
2026-07-24 13:03:20.340 | INFO     | rca_kpis.science:science_instrument:136 - RS03INT2-MJ03D-06-BOTPTA303: start
2026-07-24 13:03:23.978 | WARNING  | rca_kpis.science:science_instrument:146 - RS03INT2-MJ03D-06-BOTPTA303: no QARTOD vars [4s, peak 17.8 GiB]
2026-07-24 13:03:23.979 | INFO     | rca_kpis.science:science_instrument:136 - CE04OSBP-LJ01C-07-VEL3DC107: start
2026-07-24 13:06:04.805 | INFO     | rca_kpis.science:science_instrument:149 - CE04OSBP-LJ01C-07-VEL3DC107: 17 wks, sci~88% [161s, peak 17.8 GiB]
2026-07-24 13:06:04.919 | INFO     | rca_kpis.science:science_instrument:136 - CE02SHBP-LJ01D-07-VEL3DC108: start
2026-07-24 13:11:02.400 | INFO     | rca_kpis.science:science_instrument:149 - CE02SHBP-LJ01D-07-VEL3DC108: 17 wks, sci~88% [297s, peak 21.1 GiB]
2026-07-24 13:11:02.787 | INFO     | rca_kpis.science:science_instrument:136 - CE04OSPS-SF01B-3D-SPKIRA102: start
2026-07-24 13:13:20.626 | INFO     | rca_kpis.science:science_instrument:149 - CE04OSPS-SF01B-3D-SPKIRA102: 17 wks, sci~23% [138s, peak 21.1 GiB]
2026-07-24 13:13:20.682 | INFO     | rca_kpis.science:science_instrument:136 - RS01SBPS-SF01A-3D-SPKIRA101: start
2026-07-24 13:14:22.056 | INFO     | rca_kpis.science:science_instrument:149 - RS01SBPS-SF01A-3D-SPKIRA101: 17 wks, sci~49% [61s, peak 21.1 GiB]
2026-07-24 13:14:22.073 | INFO     | rca_kpis.science:science_instrument:136 - RS03AXPS-SF03A-3D-SPKIRA301: start
2026-07-24 13:17:22.558 | INFO     | rca_kpis.science:science_instrument:149 - RS03AXPS-SF03A-3D-SPKIRA301: 17 wks, sci~39% [180s, peak 21.1 GiB]
2026-07-24 13:17:22.642 | INFO     | rca_kpis.science:main:184 - scanned 74 zarr in 3709s (56 with QARTOD)
2026-07-24 13:17:22.647 | SUCCESS  | rca_kpis.science:main:196 - wrote reports/2026-07-20/weekly_science.csv (56 instruments with QARTOD)
Unclosed client session
client_session: <aiohttp.client.ClientSession object at 0x142dd9010>
Unclosed connector
connections: ['deque([(<aiohttp.client_proto.ResponseHandler object at 0x142dede50>, 220968.14508625), (<aiohttp.client_proto.ResponseHandler object at 0x142dec7d0>, 220968.328927208), (<aiohttp.client_proto.ResponseHandler object at 0x142decb90>, 220968.54179225), (<aiohttp.client_proto.ResponseHandler object at 0x142dee990>, 220969.292592125)])']
connector: <aiohttp.connector.TCPConnector object at 0x142dd8590>
